,dropoff_site,load_time,load_type,load_weight,dropoff_site_new,load_type_new
229533,TDS LANDFILL,2017-01-03 00:00:00,DEAD ANIMAL,20,1,7
518339,TDS - MRF,2017-01-03 00:00:00,RECYCLING - SINGLE STREAM,15660,4,2
292560,HORNSBY BEND,2017-01-03 00:00:00,YARD TRIMMING,17920,3,3
437714,TDS LANDFILL,2017-01-03 00:00:00,BULK,7200,1,5
369831,TDS LANDFILL,2017-01-03 00:00:00,BULK,6340,1,5
287346,TDS LANDFILL,2017-01-03 00:00:00,BULK,8280,1,5
92143,TDS LANDFILL,2017-01-03 00:00:00,DEAD ANIMAL,20,1,7
75107,TDS - MRF,2017-01-03 00:00:00,RECYCLING - SINGLE STREAM,17120,4,2
20248,TDS - MRF,2017-01-03 00:00:00,RECYCLING - SINGLE STREAM,17620,4,2
564025,TDS LANDFILL,2017-01-03 00:00:00,BULK,6620,1,5
191480,TDS LANDFILL,2017-01-03 00:00:00,BULK,10460,1,5
462449,MRF,2017-01-03 00:00:00,TIRES,4580,9,7
72070,TDS LANDFILL,2017-01-03 00:00:00,BULK,6780,1,5
55757,TDS LANDFILL,2017-01-03 00:00:00,BULK,3340,1,5
328052,TDS - MRF,2017-01-03 00:00:00,RECYCLING - SINGLE STREAM,12100,4,2
51662,TDS LANDFILL,2017-01-03 00:00:00,BULK,9460,1,5
934,TDS LANDFILL,2017-01-03 00:00:00,BULK,6660,1,5
13671,TDS LANDFILL,2017-01-03 00:00:00,BULK,12480,1,5
448681,TDS LANDFILL,2017-01-03 01:05:00,GARBAGE COLLECTIONS,17460,1,1
80175,TDS LANDFILL,2017-01-03 08:19:00,MIXED LITTER,2820,1,7
64136,HORNSBY BEND,2017-01-03 08:37:00,YARD TRIMMING,16800,3,3
220979,TDS - MRF,2017-01-03 08:48:00,RECYCLING - SINGLE STREAM,640,4,2
265369,TDS LANDFILL,2017-01-03 08:53:00,SWEEPING,5620,1,4
300854,ELMONT,2017-01-03 09:05:00,SWEEPING,0,9,4
308952,HORNSBY BEND,2017-01-03 09:16:00,YARD TRIMMING,10920,3,3
518457,ELMONT,2017-01-03 09:25:00,SWEEPING,0,9,4
273009,TDS - MRF,2017-01-03 10:30:00,RECYCLING - SINGLE STREAM,12440,4,2
509004,TDS LANDFILL,2017-01-03 10:34:00,GARBAGE COLLECTIONS,10280,1,1
356044,ELMONT,2017-01-03 10:35:00,SWEEPING,0,9,4
114775,HORNSBY BEND,2017-01-03 10:41:00,YARD TRIMMING,18900,3,3
38438,TDS LANDFILL,2017-01-03 10:42:00,GARBAGE COLLECTIONS,17800,1,1
